title,company,location,date,link,skills
Data Scientist,eStaffing Inc.,United States,2024-03-20,https://www.linkedin.com/jobs/view/data-scientist-at-estaffing-inc-3864297032?position=21&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=c4WXfp0GFzs5e6SJ8ZMwjg%3D%3D&trk=public_jobs_jserp-result_search-card,"['AI', 'deep learning', 'natural language processing', 'AI model architectures', 'data visualization', 'ML', 'NLP', 'deep learning', 'neural networks', 'transformers Generative AI techniques', 'GANs', 'text - to -', 'text generation models Data wrangling', 'manipulation', 'SQL', 'data cleaning', 'feature engineering Hyperscalers', 'GCP', 'AI', 'GPT - 4', 'Perplexity', 'Dolly', 'FlanT - 5', 'Mistral']"
Machine Learning Engineer,Neural Magic,"Somerville, MA",2024-03-15,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-neural-magic-3891682701?position=22&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=dNjETPl%2FEqO224A4NR1HHg%3D%3D&trk=public_jobs_jserp-result_search-card,"['model compression', 'machine learning', 'ML', 'machine learning', 'deep learning', 'computer vision', 'NLP', 'speech', 'reinforcement learning', 'generative models', 'ML', 'PyTorch', 'Keras', 'NumPy', 'scikit - learn', 'machine learning', 'engineering', 'ML', 'ML', 'PyTorch', 'TensorFlow', 'jax', 'Generative models / NLG / LLMsAbility', 'Computer Science', 'Mathematics']"
Entry Level Python Developer,SynergisticIT,"Denver, CO",2024-02-24,https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3833868091?position=23&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=pJ7WWF1NPBWGh2XbNmGXMw%3D%3D&trk=public_jobs_jserp-result_search-card,"['Computer science /', 'IT IndustryWe', 'H1b', 'IT Industry', 'Science Machine learningRequired SkillsBachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleKnowledge', 'Statistics', 'Python', 'data visualization toolsExcellent', 'NLP', 'Text mining', 'Tableau', 'Time series analysisTechnical']"
Software Developer(Junior Level),SynergisticIT,"Portland, OR",2024-02-24,https://www.linkedin.com/jobs/view/software-developer-junior-level-at-synergisticit-3833867284?position=24&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=gFwgalJhqxr6kwDtsTJfig%3D%3D&trk=public_jobs_jserp-result_search-card,"['Machine Learning', 'Java', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming', 'Java', 'software development', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Docker', 'Jenkins', 'REST API s', 'data Science Machine learning', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'Java', 'software development', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Oracle Cloud', 'Full', 'Software Programmer', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Core Java , javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'data Science Machine learning Positions', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Python', 'Tableau']"
General Applications - Software Engineer (all levels),Clever Inc.,"San Francisco, CA",2024-04-23,https://www.linkedin.com/jobs/view/general-applications-software-engineer-all-levels-at-clever-inc-3908003787?position=25&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=GsVRTUBp1r1MTqo1PbBP6w%3D%3D&trk=public_jobs_jserp-result_search-card,"['computer science', 'software engineeringThe', 'code reviewsA']"
Entry Level Python Developer,SynergisticIT,"Dallas, TX",2024-02-24,https://www.linkedin.com/jobs/view/entry-level-python-developer-at-synergisticit-3833863754?position=26&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=rk1TGbDxUcWbNWV6xoxw0g%3D%3D&trk=public_jobs_jserp-result_search-card,"['Oracle Cloud World Event', 'Analytics', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'C + +', 'software programming Spring boot', 'Micro - services', 'Docker', 'Jenkins', 'REST API', 'data Science Machine learningRequired', ""Bachelor ' s degree"", 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT Project', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'Power BI', 'Time series analysisPlease']"
Junior Software Developer - Remote,SynergisticIT,"Atlanta, GA",2024-03-10,https://www.linkedin.com/jobs/view/junior-software-developer-remote-at-synergisticit-3846887675?position=27&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=S%2Bem25Xhy0dbBnSih4CBvg%3D%3D&trk=public_jobs_jserp-result_search-card,"['programming language Java', 'software development life cycle', 'Core Java', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'data Science', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'Tensorflow']"
Junior Software Developer - Remote,SynergisticIT,"Seattle, WA",2024-04-20,https://www.linkedin.com/jobs/view/junior-software-developer-remote-at-synergisticit-3906791669?position=28&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=s4RSh01Be39i3vNBfZ45YA%3D%3D&trk=public_jobs_jserp-result_search-card,"['Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleProject', 'Core Java', 'javascript', 'C + +', 'software programmingSpring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleKnowledge', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization toolsExcellent', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'TensorflowIf']"
Software Engineer (Junior/Entry Level),SynergisticIT,"Atlanta, GA",2024-02-24,https://www.linkedin.com/jobs/view/software-engineer-junior-entry-level-at-synergisticit-3833865613?position=29&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=ivvIT7VrKTvxE4IaCRXMUg%3D%3D&trk=public_jobs_jserp-result_search-card,"['software engineering', 'software development lifecycle', 'system maintenance', ""Bachelor ' s degree"", 'Computer Science', 'Engineering', 'software development methodologies', 'tools', 'data structures', 'algorithms', 'object - oriented programming concepts']"
python Developer,Syntricate Technologies,United States,2024-04-03,https://www.linkedin.com/jobs/view/python-developer-at-syntricate-technologies-3879289332?position=30&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=a6r%2BCAwPktPDyOLL7m6Zvw%3D%3D&trk=public_jobs_jserp-result_search-card,"['GPT', 'GEMINI', 'BERT', 'programming languages', 'Python', 'Java', 'English', 'Python', 'Python', 'Java', 'R']"
